Date,driving,transit,walking,y,y-1,y-2,y-3,y-4,y-5
2020-09-15,2.6200000000000045,-53.7,-0.4300000000000068,393,671,809,1110,1042,1165
2020-09-16,5.6200000000000045,-51.23,3.1299999999999955,1099,393,671,809,1110,1042
2020-09-17,8.920000000000002,-49.74,7.079999999999997,1123,1099,393,671,809,1110
2020-09-18,27.25,-45.63,27.989999999999995,1245,1123,1099,393,671,809
2020-09-19,17.89,-52.07,35.06999999999999,1301,1245,1123,1099,393,671
2020-09-20,-7.189999999999998,-59.43,2.5,980,1301,1245,1123,1099,393
2020-09-21,-1.8700000000000043,-49.96,-1.3100000000000025,649,980,1301,1245,1123,1099
2020-09-22,0.9099999999999966,-51.39,0.5,687,649,980,1301,1245,1123
2020-09-23,2.890000000000001,-51.31,2.319999999999993,1200,687,649,980,1301,1245
2020-09-24,6.060000000000002,-51.39,4.659999999999997,1081,1200,687,649,980,1301
2020-09-25,24.77,-46.37,25.459999999999994,1361,1081,1200,687,649,980
2020-09-26,14.790000000000004,-53.76,31.65000000000001,1213,1361,1081,1200,687,649
2020-09-27,-9.409999999999997,-59.42,0.2399999999999949,813,1213,1361,1081,1200,687
2020-09-28,-3.8100000000000014,-49.24,-3.1500000000000057,654,813,1213,1361,1081,1200
2020-09-29,-0.04000000000000625,-50.75,-1.8299999999999983,829,654,813,1213,1361,1081
2020-09-30,1.0799999999999983,-51.65,-0.10999999999999943,1015,829,654,813,1213,1361
2020-10-01,4.0,-50.82,0.6700000000000017,1072,1015,829,654,813,1213
2020-10-02,19.22,-46.66,20.120000000000005,1282,1072,1015,829,654,813
2020-10-03,13.689999999999998,-52.47,29.5,985,1282,1072,1015,829,654
2020-10-04,-10.14,-59.35,-2.549999999999997,927,985,1282,1072,1015,829
2020-10-05,-5.260000000000005,-50.65,-6.1200000000000045,377,927,985,1282,1072,1015
2020-10-06,-3.030000000000001,-50.3,-1.8299999999999983,914,377,927,985,1282,1072
2020-10-07,-1.0999999999999943,-51.5,-1.9300000000000068,1589,914,377,927,985,1282
2020-10-08,1.4800000000000042,-51.08,-0.4300000000000068,1220,1589,914,377,927,985
2020-10-09,20.5,-46.49,20.41,1244,1220,1589,914,377,927
2020-10-10,12.39,-50.97,27.709999999999994,1256,1244,1220,1589,914,377
2020-10-11,-9.340000000000003,-58.01,11.909999999999995,970,1256,1244,1220,1589,914
2020-10-12,-6.329999999999997,-50.15,-3.799999999999997,847,970,1256,1244,1220,1589
2020-10-13,-3.9000000000000057,-50.29,-3.4599999999999937,768,847,970,1256,1244,1220
2020-10-14,-0.7999999999999972,-49.57,-1.75,1266,768,847,970,1256,1244
2020-10-15,4.25,-48.69,2.4099999999999966,1167,1266,768,847,970,1256
2020-10-16,22.25,-43.75,23.97,1039,1167,1266,768,847,970
2020-10-17,15.180000000000007,-50.91,31.47999999999999,914,1039,1167,1266,768,847
2020-10-18,-8.650000000000006,-57.63,-1.7399999999999949,315,914,1039,1167,1266,768
2020-10-19,-5.9099999999999975,-48.99,-4.260000000000005,915,315,914,1039,1167,1266
2020-10-20,-3.2099999999999937,-50.42,-4.549999999999997,643,915,315,914,1039,1167
2020-10-21,-1.1599999999999966,-51.11,-2.569999999999993,477,643,915,315,914,1039
2020-10-22,1.6099999999999994,-51.65,-0.5300000000000011,3579,477,643,915,315,914
2020-10-23,18.58,-46.23,18.44,2756,3579,477,643,915,315
2020-10-24,11.510000000000005,-51.82,25.58,2116,2756,3579,477,643,915
2020-10-25,-13.700000000000005,-60.61,-8.120000000000005,823,2116,2756,3579,477,643
2020-10-26,-6.150000000000006,-51.75,-7.510000000000005,854,823,2116,2756,3579,477
2020-10-27,-1.6299999999999957,-51.89,-1.4399999999999975,1463,854,823,2116,2756,3579
2020-10-28,-1.3299999999999983,-52.41,-2.9599999999999937,1292,1463,854,823,2116,2756
2020-10-29,5.430000000000007,-48.76,4.780000000000001,1701,1292,1463,854,823,2116
2020-10-30,24.53,-44.89,25.200000000000006,1257,1701,1292,1463,854,823
2020-10-31,9.39,-50.47,31.199999999999992,1291,1257,1701,1292,1463,854
2020-11-01,-16.230000000000004,-59.65,-6.819999999999991,1572,1291,1257,1701,1292,1463
2020-11-02,-7.040000000000006,-49.75,-4.510000000000005,1405,1572,1291,1257,1701,1292
2020-11-03,-10.560000000000002,-53.3,-7.189999999999998,1150,1405,1572,1291,1257,1701
2020-11-04,-13.989999999999995,-54.16,-13.28,1781,1150,1405,1572,1291,1257
2020-11-05,-8.620000000000005,-51.35,-9.480000000000004,2108,1781,1150,1405,1572,1291
2020-11-06,7.849999999999994,-48.35,7.239999999999995,2093,2108,1781,1150,1405,1572
2020-11-07,-10.010000000000003,-60.43,1.9599999999999935,2321,2093,2108,1781,1150,1405
2020-11-08,-23.950000000000006,-63.22,-18.489999999999995,2233,2321,2093,2108,1781,1150
2020-11-09,-12.870000000000005,-52.86,-13.36,1418,2233,2321,2093,2108,1781
2020-11-10,-7.269999999999996,-51.22,-9.5,2252,1418,2233,2321,2093,2108
2020-11-11,-5.989999999999995,-50.3,-3.230000000000004,2091,2252,1418,2233,2321,2093
2020-11-12,-12.069999999999993,-54.49,-15.069999999999993,2486,2091,2252,1418,2233,2321
2020-11-13,9.89,-48.31,11.060000000000002,2417,2486,2091,2252,1418,2233
2020-11-14,3.0600000000000023,-53.42,17.489999999999995,3685,2417,2486,2091,2252,1418
2020-11-15,-18.14,-59.5,-10.189999999999998,3010,3685,2417,2486,2091,2252
2020-11-16,-10.379999999999997,-50.08,-9.64,2785,3010,3685,2417,2486,2091
2020-11-17,-9.72,-51.39,-9.430000000000009,2182,2785,3010,3685,2417,2486
2020-11-18,-7.6400000000000015,-50.99,-8.530000000000001,3813,2182,2785,3010,3685,2417
2020-11-19,-5.5900000000000025,-51.15,-7.010000000000005,4896,3813,2182,2785,3010,3685
2020-11-20,8.079999999999998,-47.34,6.310000000000002,4225,4896,3813,2182,2785,3010
2020-11-21,-0.9399999999999976,-54.56,7.689999999999998,4421,4225,4896,3813,2182,2785
2020-11-22,-22.819999999999997,-61.21,-16.86,2651,4421,4225,4896,3813,2182
2020-11-23,-7.260000000000005,-50.05,-8.14,6116,2651,4421,4225,4896,3813
2020-11-24,-0.6599999999999966,-50.24,-3.4399999999999977,3502,6116,2651,4421,4225,4896
2020-11-25,5.900000000000006,-51.93,-0.9200000000000016,4190,3502,6116,2651,4421,4225
2020-11-26,-49.29,-74.09,-51.91,4952,4190,3502,6116,2651,4421
2020-11-27,-24.47,-60.0,-19.739999999999995,4420,4952,4190,3502,6116,2651
2020-11-28,-20.239999999999995,-61.22,-11.14,3211,4420,4952,4190,3502,6116
2020-11-29,-30.340000000000003,-63.96,-27.41,4953,3211,4420,4952,4190,3502
2020-11-30,-16.810000000000002,-54.51,-15.78,5077,4953,3211,4420,4952,4190
